review_text,rating
"Product quality is decent but delivery was late",3
"Really loved the build quality and performance",5
"Not great, but okay for the price",3
"Stopped working after a week",1
"Packaging was good but product is average",3
"This product is amazing",5
"Very good quality overall",4
"Average experience nothing special",3
"Not worth the price honestly",2
"Very bad experience",1
"Excellent item loved it",5
"Superb quality and finish",5
"Really happy with my purchase",4
"Not as expected",2
"Waste of money",1
"Good but delivery was late",3
"Fantastic product",5
"Highly recommended",5
"Bad packaging",2
"Okay product",3